varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
hypertension_blood_pressure_col99,5004,1,Delivery Procedures,9,9=unknown/not ascertained,955,1.6,1.62805366610409,58659
development_gross_motor,5947,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,512; 621,1.3; 1.6,1.58697707699778,39131
length_body_1_yr,5980,2,Growth/Anthropometric,88; 99,88=not applicable/no prior; 99=unknown,47; 700,0.1; 1.5,1.53532340490865,45593
length_body_1_yr_code,5981,2,Growth/Anthropometric,99,99=unknown,700,1.5,1.53532340490865,45593
consanguinity_of_gravidas_parents_col289,5187,1,Consanguinity,9,9=unknown/not ascertained,848,1.5,1.52944359274957,55445
consanguinity_of_gravidas_parents_col290,5188,1,Consanguinity,9,9=unknown/not ascertained,848,1.5,1.52944359274957,55445
integument_and_appendages_col265,5170,1,Disease Summary Counts,9,9=unknown/not ascertained,795,1.5,1.47222222222222,54000
motor_dominance_hand,5954,1,Cognitive Assessment,9,9=unknown/not ascertained,535,1.4,1.36748204381055,39123
herpes,5129,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,795,1.4,1.36363636363636,58300
breast_disorder,5130,1,Nursery/Feeding,9,9=unknown/not ascertained,795,1.4,1.36363636363636,58300
integument_and_appendages_col226,5131,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,795,1.4,1.36363636363636,58300
glucosuria_2+_or_more_number_of_urine_sp,5216,2,Obstetric Measures,99,99=unknown,761,1.3,1.32587636769113,57396
iq_iq,5358,3,Cognitive Assessment,999,999=unknown,475,1.2,1.21387135519154,39131
iq_group_code_groupinterval_code,5359,1,Cognitive Assessment,9,9=unknown/not ascertained,475,1.2,1.21387135519154,39131
development_fine_motor,5946,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,240; 470,0.6; 1.2,1.20109376197899,39131
albuminuria_proteinuria_2+_or_more_numbe,5213,2,Obstetric Measures,99,99=unknown,685,1.2,1.19346295909123,57396
continued_sensory_defects_siblings,5324,1,Family History/Siblings,9,9=unknown/not ascertained,623,1.1,1.12363603571107,55445
sensory_defects_siblings_yes_no_unknown,5325,1,Family History/Siblings,9,9=unknown/not ascertained,623,1.1,1.12363603571107,55445
motor_test_fine_copy_forms_cross,6031,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,437; 427,1.1; 1.1,1.11699000587889,39123
continued_motor_defects_siblings,5328,1,Family History/Siblings,9,9=unknown/not ascertained,612,1.1,1.10379655514474,55445
motor_defects_siblings_yes_no_unk_col475,5329,1,Family History/Siblings,9,9=unknown/not ascertained,612,1.1,1.10379655514474,55445
urinary_tract,5166,1,Disease Summary Counts,9,9=unknown/not ascertained,587,1.1,1.08703703703704,54000
motor_test_fine_wallin_pegboard_right_ha,6028,1,Cognitive Assessment,9,9=unknown/not ascertained,423,1.1,1.08120542903152,39123
motor_test_fine_wallin_pegboard_left_han,6029,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,243; 423,0.6; 1.1,1.08120542903152,39123
motor_test_fine_copy_forms_circle,6030,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,217; 422,0.6; 1.1,1.07864938782813,39123
motor_test_fine_stringing_beads,6033,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,210; 416,0.5; 1.1,1.06331314060783,39123
neurologic_psychiatric,5168,1,Disease Summary Counts,9,9=unknown/not ascertained,573,1.1,1.06111111111111,54000
glomerulonephritis,5092,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_infection_col188,5093,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_infection_col189,5094,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_infection_col190,5095,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_infection_col191,5096,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_infection_col192,5097,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
hematuria,5098,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
tumor_kub,5099,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
kub_surgery,5100,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
urinary_tract_disease,5101,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,587,1.0,1.00686106346484,58300
gastrointestinal,5169,1,Disease Summary Counts,9,9=unknown/not ascertained,532,1.0,0.985185185185185,54000
convulsive_disorder,5110,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
convulsions_during_pregnancy,5111,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
mental_retardation,5112,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
organic_brain_disease,5113,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
psychosis_and_neurosis,5114,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
neurologic_or_neuromuscular_disease,5115,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
alcoholism,5116,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
drug_habituation_and_addiction,5117,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
neurologic_and_psychiatric,5118,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,573,1.0,0.982847341337907,58300
mental_illness_psychiatric_treatm_col478,5332,1,Family History/Siblings,9,9=unknown/not ascertained,544,1.0,0.981152493461989,55445
mental_illness_psychiatric_treatm_col479,5333,1,Family History/Siblings,9,9=unknown/not ascertained,544,1.0,0.981152493461989,55445
venereal,5165,1,Disease Summary Counts,9,9=unknown/not ascertained,520,1.0,0.962962962962963,54000
weight_1_yr,5972,3,Growth/Anthropometric,999,999=unknown,437,1.0,0.95848046849297,45593
procedures_other_procedures_other,5406,1,Other,9,9=unknown/not ascertained,511,1.0,0.956498951781971,53424
diseases_and_conditions,5156,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,551,0.9,0.945111492281304,58300
years_smoked_at_registration,4988,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,323; 541,0.6; 0.9,0.942574395428253,57396
cardiovascular,5161,1,Disease Summary Counts,9,9=unknown/not ascertained,507,0.9,0.938888888888889,54000
socioeconomic_index_at_registration,5192,2,Socioeconomic,99,99=unknown,517,0.9,0.915838514818161,56451
socioeconomic_index_categorized,5193,1,Socioeconomic,9,9=unknown/not ascertained,517,0.9,0.915838514818161,56451
cholecystitis,5119,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
cholelithiasis,5120,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
hepatitis,5121,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
appendicitis,5122,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
colitis_ileitis,5123,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
hiatus_hernia,5124,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
peptic_ulcer,5125,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
gastrointestinal_surgery,5126,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
gastrointestinal_tumor,5127,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
gastrointestinal_disease,5128,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,532,0.9,0.912521440823328,58300
syphilis_col178,5083,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
syphilis_col179,5084,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
syphilis_col180,5085,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
syphilis_col181,5086,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
syphilis_col182,5087,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
gonorrhea_col183,5088,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
gonorrhea_col184,5089,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
gonorrhea_col185,5090,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
venereal_disease,5091,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,520,0.9,0.891938250428817,58300
cardiovascular_disease_col108,5013,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col109,5014,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col110,5015,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col111,5016,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col112,5017,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col113,5018,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_andor_phlebitis,5019,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col115,5020,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col116,5021,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col117,5022,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col118,5023,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col119,5024,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
thrombosis_phlebitis_col120,5025,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
cardiovascular_disease_col121,5026,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,507,0.9,0.869639794168096,58300
housing_density,5179,2,Socioeconomic,88; 99,88=not applicable/no prior; 99=unknown,100; 490,0.2; 0.9,0.865739677379459,56599
metabolic_endocrine,5164,1,Disease Summary Counts,9,9=unknown/not ascertained,466,0.9,0.862962962962963,54000
hematologic_blood,5163,1,Disease Summary Counts,9,9=unknown/not ascertained,456,0.8,0.844444444444445,54000
length_body_birth,5976,2,Growth/Anthropometric,99,99=unknown,441,0.8,0.833065719628993,52937
weight_4_mo,5970,4,Growth/Anthropometric,9999,9999=unknown,389,0.8,0.831445304150814,46786
weight_4_mo_gms_weight_4_mo_=_grams_as_g,6178,5,Growth/Anthropometric,99999,99999=unknown,389,0.8,0.831445304150814,46786
pulmonary,5162,1,Disease Summary Counts,9,9=unknown/not ascertained,441,0.8,0.816666666666667,54000
diabetes_mellitus_col156,5061,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col157,5062,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col158,5063,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col159,5064,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col160,5065,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col161,5066,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
diabetes_mellitus_col162,5067,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
glucose_tolerance_test,5068,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col164,5069,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col165,5070,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col166,5071,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col167,5072,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col168,5073,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col169,5074,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hyperthyroidism_col170,5075,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hyperthyroidism_col171,5076,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hyperthyroidism_col172,5077,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hyperthyroidism_col173,5078,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hyperthyroidism_col174,5079,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
hypothyroidism_col175,5080,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
thyroid_surgery,5081,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
metabolic_disorders,5082,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,466,0.8,0.799313893653516,58300
gynecological,5167,1,Disease Summary Counts,9,9=unknown/not ascertained,428,0.8,0.792592592592593,54000
anemia_col138,5043,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col139,5044,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col140,5045,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col141,5046,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col142,5047,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col143,5048,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col144,5049,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col145,5050,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col146,5051,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
anemia_col147,5052,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col148,5053,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col149,5054,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col150,5055,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col151,5056,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col152,5057,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col153,5058,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
coagulation_defect_col154,5059,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
blood_hematologic_disease,5060,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,455,0.8,0.780445969125214,58300
last_prior_outcome_survival,4979,2,Registration/Pregnancy History,99,99=unknown,445,0.8,0.776573652339319,57303
intelligence_clinical_impression,5945,1,Cognitive Assessment,9,9=unknown/not ascertained,303,0.8,0.774322148680075,39131
tuberculosis_col122,5027,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col123,5028,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col124,5029,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col125,5030,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col126,5031,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col127,5032,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
tuberculosis_col128,5033,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
pneumonia_col129,5034,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
pneumonia_col130,5035,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
pneumonia_col131,5036,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
pneumonia_col132,5037,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
asthma_bronchial_col133,5038,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
asthma_bronchial_col134,5039,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
asthma_bronchial_col135,5040,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
thoracic_surgery,5041,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
pulmonary_disease,5042,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,441,0.8,0.756432246998285,58300
length_body_4_mo,5978,2,Growth/Anthropometric,99,99=unknown,347,0.7,0.741674860000855,46786
infertility,5102,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
cervical_incompetence_col198,5103,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
cervical_incompetence_col199,5104,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
vaginitis,5105,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
leiomyoma,5106,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
gynecologic_tumor,5107,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
gynecologic_surgery,5108,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
gynecologic_disease,5109,1,Pregnancy Conditions by Trimester,9,9=unknown/not ascertained,427,0.7,0.732418524871355,58300
labor_date_of_onset_modayyr_onset_of_lab,6168,6,Delivery Procedures,999999,999999=unknown,400,0.7,0.729141982172479,54859
cigarettes_per_day_now,4985,2,Registration/Pregnancy History,99,99=unknown,400,0.7,0.690143032143412,57959
smoking_history_interval_code,4986,1,Registration/Pregnancy History,9,9=unknown/not ascertained,400,0.7,0.690143032143412,57959
consanguinity_of_gravida_and_fath_col291,5189,1,Consanguinity,9,9=unknown/not ascertained,382,0.7,0.688971052394265,55445
consanguinity_of_gravida_and_fath_col292,5190,1,Consanguinity,9,9=unknown/not ascertained,382,0.7,0.688971052394265,55445
length_body_7_yr,5984,3,Growth/Anthropometric,999,999=unknown,275,0.7,0.672305886954821,40904
neurologic_abnormality_number_of_ped_8_s,5613,1,Congenital Conditions,8; 9,8=not ascertained; 9=unknown/not ascertained,327; 358,0.6; 0.7,0.653093987157035,54816
blood_pressure_systolic_first_recorded_c,5218,2,Pathology/Placenta,99,99=unknown,376,0.6,0.64972093103627,57871
race_of_father_of_baby_or_husband,5244,1,Registration/Pregnancy History,8,8=not ascertained,154,0.6,0.630604807337947,24421
pathology_gross_membranes_and_fet_col518,5360,1,Pathology/Placenta,8,8=not ascertained,296,0.6,0.607129671411577,48754
illness_confining_preceding_12_months_to,5206,1,Registration/Pregnancy History,9,9=unknown/not ascertained,331,0.6,0.584991693471422,56582
twinning_gravida,5191,1,Consanguinity,9,9=unknown/not ascertained,323,0.6,0.582559292993056,55445
gestation_at_delivery,5920,2,Delivery Procedures,99,99=unknown,345,0.6,0.580915657781744,59389
anesthesia_during_delivery_anesthesia_du,6166,1,Delivery Procedures,9,9=unknown/not ascertained,313,0.6,0.572253912534738,54696
sra_nonverbal_quotient,6020,3,Cognitive Assessment,888,888=not applicable/no prior,126,0.6,0.569877883310719,22110
sra_nonverbal_raw_score,6019,2,Cognitive Assessment,88,88=not applicable/no prior,125,0.6,0.565355042966983,22110
blood_pressure_systolic_140_or_greater_a,5212,1,Obstetric Measures,8,8=not ascertained,324,0.6,0.564499268241689,57396
transfusions,5207,1,Registration/Pregnancy History,9,9=unknown/not ascertained,318,0.6,0.562473468232631,56536
sterility_investigation,4992,1,Registration/Pregnancy History,9,9=unknown/not ascertained,322,0.6,0.560750918621458,57423
employed_last_worked_gravida,5181,4,Socioeconomic,9999,9999=unknown,301,0.5,0.531501624523238,56632
race,5195,1,Other,8,8=not ascertained,310,0.5,0.521964607432103,59391
overall_impression_4_yr,5951,1,Cognitive Assessment,9,9=unknown/not ascertained,196,0.5,0.500881653931665,39131
pathology_gross_membranes_and_fet_col522,5364,4,Pathology/Placenta,9999,9999=unknown,213,0.5,0.450450450450451,47286
pathology_gross_membranes_and_fet_col526,5365,2,Pathology/Placenta,99,99=unknown,213,0.5,0.450450450450451,47286
head_circumference_neonatal,5961,2,Growth/Anthropometric,99,99=unknown,220,0.4,0.415588340858001,52937
head_circumference_7_yr,5968,2,Growth/Anthropometric,99,99=unknown,163,0.4,0.398494034813221,40904
menarche_age_at_onset_of_menstruation_yr,5204,2,Registration/Pregnancy History,99,99=unknown,212,0.4,0.369190045800463,57423
blood_pressure_diastolic_first_re_col337,5220,2,Pathology/Placenta,99,99=unknown,213,0.4,0.368059995507249,57871
blood_pressure_diastolic_first_re_col334,5219,3,Pathology/Placenta,999,999=unknown,200,0.3,0.34559623991291,57871
blood_pressure_systolic_first_recorded,5217,3,Pathology/Placenta,999,999=unknown,196,0.3,0.338684315114652,57871
head_circumference_1_yr_cms,5636,2,Growth/Anthropometric,99,99=unknown,150,0.3,0.328997872480425,45593
weight_nursery_lowest,5969,4,Growth/Anthropometric,9999,9999=unknown,164,0.3,0.309755406553971,52945
weight_7_yr,5975,3,Growth/Anthropometric,999,999=unknown,119,0.3,0.29092509290045,40904
education,5175,2,Socioeconomic,99,99=unknown,137,0.2,0.242062300121915,56597
head_circumference_4_mo,5963,2,Growth/Anthropometric,99,99=unknown,95,0.2,0.203052195101099,46786
age_chronological_4_yr,5952,3,Cognitive Assessment,999,999=unknown,78,0.2,0.199330454115663,39131
occupation,5232,2,Delivery Procedures,99,99=unknown,101,0.2,0.178344398926402,56632
pathology_microscopic_membranes_m_col535,5372,2,Pathology/Placenta,99,99=unknown,86,0.2,0.172784441363792,49773
bayley_scales_mental_development_score_b,5352,3,Cognitive Assessment,999,999=unknown,56,0.1,0.126342387871131,44324
continued_pathology_microscopic_membrane,5370,2,Pathology/Placenta,99,99=unknown,58,0.1,0.116529041849999,49773
gestation_at_registration,4976,2,Demographics,99,99=unknown,68,0.1,0.114495462275429,59391
bayley_scales_motor_development_score_8,5354,2,Cognitive Assessment,99,99=unknown,46,0.1,0.103781247179857,44324
fetal_ekg_studies,5159,2,Pregnancy Conditions by Trimester,99,99=unknown,50,0.1,0.0857632933104631,58300
hematocrit_lowest_gravida,4998,3,Obstetric Measures,999,999=unknown,36,0.1,0.0650759219088937,55320
hemoglobin_lowest_gravida,5000,3,Obstetric Measures,999,999=unknown,16,0.0,0.0361133054959937,44305
age_1_yr_wks,5635,2,Cognitive Assessment,88,88=not applicable/no prior,16,0.0,0.0350677245430237,45626
