varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
locomotor_postural_development_reported,5938,1,Cognitive Assessment,8; 9,8=not ascertained; 9=unknown/not ascertained,373; 18128,0.8; 39.7,39.747412734608,45608
blood_transfusion,6069,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2115,38.3; 3.7,38.337745576146,57416
polyhydramnios,6091,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2128,38.3; 3.7,38.337745576146,57416
uterine_rupture,6092,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2128,38.3; 3.7,38.337745576146,57416
bleeding_after_cord_clamped,6070,4,Delivery Procedures,8888; 9999,8888=not applicable/no prior; 9999=unknown,22012; 2398,38.3; 4.2,38.3364101849594,57418
bleeding_before_cord_clamped,6071,4,Delivery Procedures,8888; 9999,8888=not applicable/no prior; 9999=unknown,22012; 2685,38.3; 4.7,38.3364101849594,57418
lacerations_maternal_degree,6088,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2052,38.3; 3.6,38.3364101849594,57418
lacerations_site,6089,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2046,38.3; 3.6,38.3364101849594,57418
vertex_delivery_vacuum_extraction,6062,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 1915,38.3; 3.3,38.3183915049178,57445
labor_arrested_prolonged_cause_malpresen,6064,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2063,38.3; 3.6,38.3137227598691,57452
labor_arrested_prolonged_cause_mortality,6065,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2062,38.3; 3.6,38.3137227598691,57452
labor_arrested_prolonged_cause_retroperi,6066,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2063,38.3; 3.6,38.3137227598691,57452
labor_arrested_prolonged_cause_other_cau,6067,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2079,38.3; 3.6,38.3137227598691,57452
labor_arrested_progress_oh_16_present,6068,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2010,38.3; 3.5,38.3137227598691,57452
cord_pathology_velamentous_insertion,6043,1,Pathology/Placenta,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2325,38.3; 4.0,38.3037221361825,57467
cord_pathology_previa_varices,6044,1,Pathology/Placenta,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2325,38.3; 4.0,38.3037221361825,57467
cord_pathology_other_abnormality,6046,1,Pathology/Placenta,8; 9,8=not ascertained; 9=unknown/not ascertained,22012; 2325,38.3; 4.0,38.3037221361825,57467
cesarean_section_indication_previ_col1390,6114,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_fetal_col1391,6115,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_cepha_col1392,6116,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_breech_primi,6117,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_elder_col1394,6118,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_trans_col1395,6119,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_prola_col1396,6120,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_myomata_uter,6121,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_surgery_prev,6122,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_diabe_col1399,6123,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_toxemia_ob_3,6124,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_abrup_col1401,6125,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_place_col1402,6126,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_forceps_deli,6127,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_uteri_col1404,6128,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 677,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_other_ob_34,6129,1,Delivery Procedures,8; 9,8=not ascertained; 9=unknown/not ascertained,20262; 678,35.3; 1.2,35.2584961804166,57467
cesarean_section_indication_category,6109,2,Delivery Procedures,88; 99,88=not applicable/no prior; 99=unknown,20221; 701,35.2; 1.2,35.1994011871812,57447
pregnancy_last_prior_outcome_wks,5253,2,Birth Outcomes,99,99=unknown,16358,28.5,28.5464984381272,57303
continued_seizures_convulsions_siblings,5337,1,Socioeconomic,9,9=unknown/not ascertained,15509,28.0,27.9718640093787,55445
seizures_convulsions_epilepsy_sib_col484,5338,1,Socioeconomic,9,9=unknown/not ascertained,15509,28.0,27.9718640093787,55445
prior_perinatal_loss,4983,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,16163; 1043,27.9; 1.8,27.940947672308,57847
livebirths_prior_viable,4984,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,16157; 476,27.9; 0.8,27.9281615155915,57852
deaths_neonatal_and_stillbirths_total_nu,5252,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,16155; 25,27.9; 0.0,27.9247044181705,57852
fetal_deaths_abortion_at_less_than_20_we,5249,1,Birth Outcomes,8,8=no prior pregnancy (structural zero),16153,27.9,27.9212473207495,57852
pregnancies_multiple_total_number_prior,5250,1,Registration/Pregnancy History,8,8=no prior pregnancy (structural zero),16153,27.9,27.9212473207495,57852
stillbirths_deaths_at_20_weeks_gestation,5251,1,Birth Outcomes,8,8=no prior pregnancy (structural zero),16153,27.9,27.9212473207495,57852
siblings_full_total_number_of_prior_preg,5254,2,Family History/Siblings,88,88=not applicable/no prior,15481,27.9,27.9112954115208,55465
siblings_half_total_number_prior_pregnan,5270,2,Family History/Siblings,88,88=not applicable/no prior,15481,27.9,27.9112954115208,55465
siblings_full_total_fetal_death_prior_to,5255,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_stillborn_fetal_death_at_2,5256,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_liveborn_male_total_number,5257,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_liveborn_female_total_numb,5258,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_prematures_total_number,5259,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_living_less_than_five_year,5260,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_living_five_years_of_age_a,5261,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_death_neonatal_27_or_less,5262,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_death_at_28_or_more_days_t,5263,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_rh_incompatibility_blood_g,5264,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_malformation_congenital_to,5265,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_seizures_convulsions_epile,5266,1,Socioeconomic,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_motor_defect_total_number,5267,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_sensory_defect_hearing_spe,5268,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_full_developmental_retardation,5269,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_fetal_death_prior_to_20_wk,5271,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_stillborn_death_at_20_wks,5272,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_different_father,5273,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_unknown_paternity,5274,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_liveborn_male_total_number,5275,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_liveborn_female_total_numb,5276,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_prematures_total_number,5277,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_living_less_than_five_year,5278,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_living_five_years_of_age_a,5279,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_death_neonatal_27_or_less,5280,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_death_at_28_or_more_days_t,5281,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_rh_incompatibility_blood_g,5282,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_malformation_congenital_to,5283,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_seizures_convulsions_epile,5284,1,Socioeconomic,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
siblings_half_motor_defect_total_number,5285,1,Family History/Siblings,8,8=no prior pregnancy (structural zero),15480,27.9,27.9094924727306,55465
